ID,Cast_Name,Birth Date
1,Robert Redford,8/18/1936
2,Anthony Hopkins,12/31/1937
3,John Kani,11/30/1942
4,Ben Kingsley,12/31/1943
5,Michael Douglas,9/25/1944
6,Tyne Daly,2/21/1946
7,Sylvester Stallone,7/6/1946
8,Tommy Lee Jones,9/15/1946
9,Glenn Close,3/19/1947
10,Samuel L. Jackson,12/21/1948
11,Simon Callow,6/13/1949
12,Garry Shandling,11/29/1949
13,Jeff Bridges,12/4/1949
14,William Hurt,3/20/1950
15,Kurt Russell,3/17/1951
16,Stellan Skarsgard,6/13/1951
17,Michael Keaton,9/5/1951
18,Mickey Rourke,9/16/1952
19,Jeff Goldblum,10/22/1952
20,Jenny Agutter,12/20/1952
21,Alfred Molina,5/24/1953
22,Harish Patel,7/5/1953
23,Rene Russo,2/17/1954
24,J.K. Simmons,1/9/1955
25,Michael Rooker,4/6/1955
26,Willem Dafoe,7/22/1955
27,Ray Winstone,2/19/1957
28,Richard E. Grant,5/5/1957
29,Shaun Toub,2/15/1958
30,Michelle Pfeiffer,4/29/1958
31,Annette Bening,5/29/1958
32,Angela Bassett,8/16/1958
33,Colm Feore,8/22/1958
34,Ving Rhames,5/12/1959
35,James Spader,2/7/1960
36,Hugo Weaving,4/4/1960
37,Thomas Haden Church,6/17/1960
38,Tilda Swinton,11/5/1960
39,Stanley Tucci,11/11/1960
40,Julia Louis-Dreyfus,1/13/1961
41,Forest Whitaker,7/15/1961
42,Laurence Fishburne,7/30/1961
43,Clark Gregg,4/2/1962
44,Tony Chiu-Wai Leung,6/27/1962
45,Michelle Yeoh,8/6/1962
46,John Slattery,8/13/1962
47,Benjamin Bratt,12/16/1963
48,Christopher Eccleston,2/16/1964
49,Hope Davis,3/23/1964
50,Andy Serkis,4/20/1964
51,Djimon Hounsou,4/24/1964
52,Ray Stevenson,5/25/1964
53,Don Cheadle,11/29/1964
54,Marisa Tomei,12/4/1964
55,Robert Downey Jr.,4/4/1965
56,John C. Reilly,5/24/1965
57,Frank Grillo,6/8/1965
58,J.B. Smoove,12/16/1965
59,Salma Hayek,9/2/1966
60,Toby Jones,9/7/1966
61,Jon Favreau,10/19/1966
62,Zahn McClarnon,10/24/1966
63,Benicio Del Toro,2/19/1967
64,Vin Diesel,7/18/1967
65,Rhys Ifans,7/22/1967
66,Adewale Akinnuoye-Agbaje,8/22/1967
67,Guy Pearce,10/5/1967
68,Mark Ruffalo,11/22/1967
69,Jamie Foxx,12/13/1967
70,Josh Brolin,2/12/1968
71,Brian d'Arcy James,6/29/1968
72,Michael Stuhlbarg,7/5/1968
73,Terry Notary,8/14/1968
74,Sam Rockwell,11/5/1968
75,Owen Wilson,11/18/1968
76,Dave Bautista,1/18/1969
77,Terrence Howard,3/11/1969
78,Ben Mendelsohn,4/3/1969
79,Paul Rudd,4/6/1969
80,Cate Blanchett,5/14/1969
81,Peter Dinklage,6/11/1969
82,Aleks Paunovic,6/29/1969
83,Edward Norton,8/18/1969
84,Wood Harris,10/17/1969
85,Julie Delpy,12/21/1969
86,Benedict Wong,2/20/1970
87,Rachel Weisz,3/7/1970
88,Bobby Cannavale,5/3/1970
89,Jeremy Renner,1/7/1971
90,Ma Dong-seok,3/1/1971
91,Paul Bettany,5/27/1971
92,Martin Freeman,9/8/1971
93,Walton Goggins,11/10/1971
94,Piotr Adamczyk,3/21/1972
95,Karl Urban,6/7/1972
96,Idris Elba,9/6/1972
97,Gwyneth Paltrow,9/27/1972
98,Jude Law,12/29/1972
99,Tara Strong,2/12/1973
100,Kathryn Hahn,7/23/1973
101,Vera Farmiga,8/6/1973
102,Leslie Bibb,11/17/1973
103,Tadanobu Asano,11/27/1973
104,Randall Park,3/23/1974
105,Sean Gunn,5/22/1974
106,Bradley Cooper,1/5/1975
107,Tony Dalton,2/13/1975
108,Callan Mulvey,2/23/1975
109,David Harbour,4/10/1975
110,Angelina Jolie,6/4/1975
111,Linda Cardellini,6/25/1975
112,Tobey Maguire,6/27/1975
113,Judy Greer,7/20/1975
114,David Dastmalchian,7/21/1975
115,Stephanie Szostak,8/5/1975
116,Taika Waititi,8/16/1975
117,Michael Pena,1/13/1976
118,Corey Stoll,3/14/1976
119,Sterling K. Brown,4/5/1976
120,Benedict Cumberbatch,7/19/1976
121,Florence Kasumba,10/26/1976
122,Chadwick Boseman,11/29/1976
123,Liv Tyler,7/1/1977
124,Chiwetel Ejiofor,7/10/1977
125,Tom Hardy,9/15/1977
126,Danai Gurira,2/14/1978
127,Lauren Ridloff,4/6/1978
128,Dominic Cooper,6/2/1978
129,Daniel Bruhl,6/16/1978
130,Zoe Saldana,6/19/1978
131,Anthony Mackie,9/23/1978
132,Lee Pace,3/25/1979
133,Chris Pratt,6/21/1979
134,Evangeline Lilly,8/3/1979
135,Olga Kurylenko,11/14/1979
136,Arian Moayed,4/15/1980
137,T.I.,9/25/1980
138,Zachary Levi,9/29/1980
139,Jake Gyllenhaal,12/19/1980
140,O-T Fagbenle,1/22/1981
141,Carrie Coon,1/24/1981
142,Tom Hiddleston,2/9/1981
143,Georges St-Pierre,5/19/1981
144,Natalie Portman,6/9/1981
145,Chris Evans,6/13/1981
146,Ross Marquand,8/22/1981
147,Fala Chen,2/24/1982
148,Brian Tyree Henry,3/31/1982
149,Cobie Smulders,4/3/1982
150,Hayley Atwell,4/5/1982
151,Rebecca Hall,5/3/1982
152,Martin Starr,7/30/1982
153,Sebastian Stan,8/13/1982
154,Gemma Chan,11/29/1982
155,Charlie Cox,12/15/1982
156,Hannibal Buress,2/4/1983
157,Lupita Nyong'o,3/1/1983
158,Gugu Mbatha-Raw,4/21/1983
159,Chris Hemsworth,8/11/1983
160,Andrew Garfield,8/20/1983
161,Donald Glover,9/25/1983
162,Tessa Thompson,10/3/1983
163,Sophia Di Martino,11/15/1983
164,Jaimie Alexander,3/12/1984
165,Scarlett Johansson,11/22/1984
166,Pom Klementieff,5/3/1986
167,Emily VanCamp,5/12/1986
168,Kat Dennings,6/13/1986
169,Richard Madden,6/18/1986
170,Wyatt Russell,7/10/1986
171,Wunmi Mosaku,7/31/1986
172,Michael James Shaw,9/16/1986
173,Kit Harington,12/26/1986
174,Evan Peters,1/20/1987
175,Michael B. Jordan,2/9/1987
176,Meng'er Zhang,4/22/1987
177,Fra Fee,5/20/1987
178,Teyonah Parris,9/22/1987
179,Lashana Lynch,11/27/1987
180,Karen Gillan,11/28/1987
181,Awkwafina,6/2/1988
182,Elizabeth Olsen,2/16/1989
183,Daniel Kaluuya,2/24/1989
184,Simu Liu,4/19/1989
185,Hannah John-Kamen,9/7/1989
186,Jonathan Majors,9/7/1989
187,Brie Larson,10/1/1989
188,Aaron Taylor-Johnson,6/13/1990
189,Bill Skarsgard,8/9/1990
190,Elizabeth Debicki,8/24/1990
191,Barry Keoghan,10/17/1992
192,Letitia Wright,10/31/1993
193,Harry Styles,2/1/1994
194,Sasha Lane,9/29/1995
195,Florence Pugh,1/3/1996
196,Tony Revolori,4/28/1996
197,Tom Holland,6/1/1996
198,Zendaya,9/1/1996
199,Jacob Batalon,10/9/1996
200,Hailee Steinfeld,12/11/1996
201,Erin Kellyman,10/17/1998
202,Angourie Rice,1/1/2001
203,Ty Simpkins,8/6/2001
204,Alaqua Cox,2/13/1997
205,Winston Duke,11/15/1986
206,Maximiliano Hernandez,9/12/1973
207,Abby Ryder Fortson,3/14/2008
208,Tom Vaughan-Lawlor,11/4/1977
209,Eugene Cordero,5/12/1986
210,Lia McHugh,11/18/2005
211,Florian Munteanu,10/13/1990
212,Kumail Nanjiani,2/21/1978
213,Paula Newsome,12/2/1968
214,Adepero Oduye,1/11/1978
215,Deobia Oparei,12/7/1971
216,Danny Ramirez,12/17/1992
217,Jack Veal,6/12/2007
